Step,Prompt_Variance,Test_Accuracy
0,0.0,80.74644470214844
1,0.1771240234375,85.81161499023438
2,0.1558837890625,86.52251434326172
3,0.1373291015625,84.6563949584961
4,0.12310791015625,85.15995025634766
5,0.1126708984375,86.3151626586914
6,0.1033935546875,85.69313049316406
7,0.09710693359375,86.34478759765625
8,0.09234619140625,84.8637466430664
9,0.08782958984375,85.39691925048828
10,0.08404541015625,84.98223114013672
11,0.0806884765625,84.47867584228516
12,0.07763671875,85.66350555419922
13,0.07452392578125,85.959716796875
14,0.07208251953125,85.66350555419922
15,0.0693359375,85.39691925048828
16,0.06707763671875,84.98223114013672
17,0.06494140625,85.57464599609375
18,0.0628662109375,85.39691925048828
19,0.0609130859375,85.27843475341797
